    x         y        ÏÊÐÀ      ËÊÐÀ   
  1.216406  3.165306  4.336964  4.336049
  1.216797  3.167001  4.337878  4.336964
  1.217188  3.168695  4.338792  4.337878
  1.217578  3.170390  4.339705  4.338792
  1.217969  3.172085  4.340618  4.339705
  1.218359  3.173781  4.341530  4.340618
  1.218750  3.175477  4.342441  4.341530
  1.219141  3.177173  4.343352  4.342441
  1.219531  3.178869  4.344262  4.343352
  1.219922  3.180566  4.345171  4.344262
  1.220313  3.182264  4.346080  4.345171
  1.220703  3.183961  4.346988  4.346080
  1.221094  3.185659  4.347896  4.346988
  1.221484  3.187358  4.348803  4.347896
  1.221875  3.189057  4.349709  4.348803
  1.222266  3.190756  4.350615  4.349709
  1.222656  3.192455  4.351520  4.350615
  1.223047  3.194155  4.352425  4.351520
  1.223438  3.195855  4.353329  4.352425
  1.223828  3.197556  4.354232  4.353329
  1.224219  3.199257  4.355135  4.354232
  1.224609  3.200958  4.356037  4.355135
  1.225000  3.202659  4.356938  4.356037
  1.225391  3.204361  4.357839  4.356938
  1.225781  3.206064  4.358739  4.357839
  1.226172  3.207766  4.359639  4.358739
  1.226563  3.209469  4.360538  4.359639
  1.226953  3.211172  4.361436  4.360538
  1.227344  3.212876  4.362334  4.361436
  1.227734  3.214580  4.363231  4.362334
  1.228125  3.216285  4.364127  4.363231
  1.228516  3.217989  4.365023  4.364127
  1.228906  3.219694  4.365918  4.365023
  1.229297  3.221400  4.366813  4.365918
  1.229688  3.223106  4.367706  4.366813
  1.230078  3.224812  4.368600  4.367706
  1.230469  3.226518  4.369492  4.368600
  1.230859  3.228225  4.370384  4.369492
  1.231250  3.229932  4.371276  4.370384
  1.231641  3.231640  4.372166  4.371276
  1.232031  3.233348  4.373056  4.372166
  1.232422  3.235056  4.373946  4.373056
  1.232813  3.236764  4.374834  4.373946
  1.233203  3.238473  4.375723  4.374834
  1.233594  3.240183  4.376610  4.375723
  1.233984  3.241892  4.377497  4.376610
  1.234375  3.243602  4.378383  4.377497
  1.234766  3.245313  4.379269  4.378383
  1.235156  3.247023  4.380154  4.379269
  1.235547  3.248734  4.381038  4.380154
  1.235938  3.250446  4.381922  4.381038
  1.236328  3.252157  4.382804  4.381922
  1.236719  3.253869  4.383687  4.382804
  1.237109  3.255582  4.384568  4.383687
  1.237500  3.257294  4.385450  4.384568
  1.237891  3.259007  4.386330  4.385450
  1.238281  3.260721  4.387210  4.386330
  1.238672  3.262435  4.388089  4.387210
  1.239063  3.264149  4.388967  4.388089
  1.239453  3.265863  4.389845  4.388967
  1.239844  3.267578  4.390722  4.389845
  1.240234  3.269293  4.391598  4.390722
  1.240625  3.271009  4.392474  4.391598
  1.241016  3.272724  4.393349  4.392474
  1.241406  3.274440  4.394224  4.393349
  1.241797  3.276157  4.395098  4.394224
  1.242188  3.277874  4.395971  4.395098
  1.242578  3.279591  4.396843  4.395971
  1.242969  3.281308  4.397715  4.396843
  1.243359  3.283026  4.398586  4.397715
  1.243750  3.284745  4.399457  4.398586
  1.244141  3.286463  4.400327  4.399457
  1.244531  3.288182  4.401196  4.400327
  1.244922  3.289901  4.402065  4.401196
  1.245313  3.291621  4.402932  4.402065
  1.245703  3.293341  4.403800  4.402932
  1.246094  3.295061  4.404666  4.403800
  1.246484  3.296781  4.405532  4.404666
  1.246875  3.298502  4.406397  4.405532
  1.247266  3.300224  4.407262  4.406397
  1.247656  3.301945  4.408126  4.407262
  1.248047  3.303667  4.408989  4.408126
  1.248438  3.305389  4.409851  4.408989
  1.248828  3.307112  4.410713  4.409851
  1.249219  3.308835  4.411574  4.410713
  1.249609  3.310558  4.412435  4.411574
  1.250000  3.312282  4.413295  4.412435
  1.250391  3.314006  4.414154  4.413295
  1.250781  3.315730  4.415012  4.414154
  1.251172  3.317455  4.415870  4.415012
  1.251563  3.319180  4.416727  4.415870
  1.251953  3.320905  4.417584  4.416727
  1.252344  3.322630  4.418440  4.417584
  1.252734  3.324356  4.419295  4.418440
  1.253125  3.326083  4.420149  4.419295
  1.253516  3.327809  4.421003  4.420149
  1.253906  3.329536  4.421856  4.421003
  1.254297  3.331264  4.422708  4.421856
  1.254688  3.332991  4.423560  4.422708
  1.255078  3.334719  4.424411  4.423560
  1.255469  3.336447  4.425261  4.424411
  1.255859  3.338176  4.426111  4.425261
  1.256250  3.339905  4.426960  4.426111
  1.256641  3.341634  4.427808  4.426960
